Main Name	DrugBank:Identifiers	score	Human Intestinal Absorption	Blood Brain Barrier	P-glycoprotein Inhibition	Drug Induced Liver Injury	CYP3A4 Inhibition	CYP2C9 Inhibition	DrugBank:Routes	DrugBank:FDA Approved	Less than $500	Pediatric Safety
cholecalciferol	{'cas-number': '67-97-0', 'ChEBI': '28940', 'ChEMBL': 'CHEMBL1042', 'drugbank-id': 'DB00169', 'InChIKey': 'QYSXJUFSXHHAJI-YRZJJWOYSA-N', 'PubChem Compound': '5280795', 'PubChem Substance': '46506365', 'unii': '1C6V77QF41'}	5	0.9962239643	0.7982973586	0.6662697205	0.1240301526	0.0948433035	0.0573014773	{'topical', 'intravenous', 'cutaneous', 'oral'}	TRUE	TRUE	TRUE
desloratadine	{'cas-number': '100643-71-8', 'ChEBI': '291342', 'ChEMBL': 'CHEMBL1172', 'drugbank-id': 'DB00967', 'InChIKey': 'JAUOIFJMECXRGI-UHFFFAOYSA-N', 'PubChem Compound': '124087', 'PubChem Substance': '46507996', 'unii': 'FVF865388R'}	5	0.9969895903	0.9528342775	0.5470874601	0.2490422026	0.1746734069	0.3811795716	{'topical', 'oral'}	TRUE	TRUE	TRUE
dextromethorphan	{'cas-number': '125-71-3', 'ChEBI': '4470', 'ChEMBL': 'CHEMBL52440', 'drugbank-id': 'DB00514', 'InChIKey': 'MKXZASYAUGDDCJ-NJAFHUGGSA-N', 'PubChem Compound': '5360696', 'PubChem Substance': '46506530', 'unii': '7355X3ROTS'}	5	0.9964811651	0.9896614586	0.0770673133	0.0554307628	0.0820331045	0.0153374687	{'topical', 'nasal', 'not applicable', 'oral'}	TRUE	TRUE	TRUE
fexofenadine	{'cas-number': '83799-24-0', 'ChEBI': '5050', 'ChEMBL': 'CHEMBL914', 'drugbank-id': 'DB00950', 'InChIKey': 'RWTNPBWLLIMQHL-UHFFFAOYSA-N', 'PubChem Compound': '3348', 'PubChem Substance': '46504676', 'unii': 'E6582LOH6V'}	5	0.983020822	0.5152772324	0.7533964371	0.0733812547	0.0277035909	0.0208268252	{'oral'}	TRUE	TRUE	TRUE
gemfibrozil	{'cas-number': '25812-30-0', 'ChEBI': '5296', 'ChEMBL': 'CHEMBL457', 'drugbank-id': 'DB01241', 'InChIKey': 'HEMJJKBWTPKOJG-UHFFFAOYSA-N', 'PubChem Compound': '3463', 'PubChem Substance': '46508264', 'unii': 'Q8X02027X3'}	5	0.9961581659	0.87370697	0.0268158801	0.3259057196	0.0108865723	0.1500209435	{'oral'}	TRUE	TRUE	TRUE
guaifenesin	{'cas-number': '93-14-1', 'ChEBI': '5551', 'ChEMBL': 'CHEMBL980', 'drugbank-id': 'DB00874', 'InChIKey': 'HSRJKNPTNIJEKV-UHFFFAOYSA-N', 'PubChem Compound': '3516', 'PubChem Substance': '46508004', 'unii': '495W7451VQ'}	5	0.9949353214	0.850112142	0.021636368	0.0810070848	0.0147171362	0.0066068111	{'topical', 'nasal', 'rectal', 'not applicable', 'oral'}	TRUE	TRUE	TRUE
guanfacine	{'cas-number': '29110-47-2', 'ChEBI': '5558', 'ChEMBL': 'CHEMBL862', 'drugbank-id': 'DB01018', 'InChIKey': 'INJOMKTZOLKMBF-UHFFFAOYSA-N', 'PubChem Compound': '3519', 'PubChem Substance': '46506169', 'unii': '30OMY4G3MK'}	5	0.9940558823	0.8308571865	0.0268598554	0.3408409541	0.1586584168	0.0216983875	{'oral'}	TRUE	TRUE	TRUE
levetiracetam	{'cas-number': '102767-28-2', 'ChEBI': '6437', 'ChEMBL': 'CHEMBL1286', 'drugbank-id': 'DB01202', 'InChIKey': 'HPHUVLMMVZITSG-LURJTMIESA-N', 'PubChem Compound': '5284583', 'PubChem Substance': '46508406', 'unii': '44YRR34555'}	5	0.9936802522	0.9616512049	0.0088545982	0.2446875315	0.0016980921	0.0049737579	{'not applicable', 'intravenous', 'oral'}	TRUE	TRUE	TRUE
lidocaine	{'cas-number': '137-58-6', 'ChEBI': '6456', 'ChEMBL': 'CHEMBL79', 'drugbank-id': 'DB00281', 'InChIKey': 'NNJVILVZKWQKPM-UHFFFAOYSA-N', 'PubChem Compound': '3676', 'PubChem Substance': '46505060', 'unii': '98PI200987'}	5	0.9957226889	0.9607020048	0.0176692955	0.1275482263	0.0361296044	0.0446308409	{'intravascular', 'dental', 'urethral', 'intraocular', 'parenteral', 'epidural', 'electro-osmosis', 'intralesional', 'intra-amniotic', 'retrobulbar', 'intravenous', 'endotracheal', 'intramuscular', 'laryngeal', 'intraspinal', 'iontophoresis', 'perineural', 'intradermal', 'submucosal', 'auricular (otic)', 'oral', 'intrathecal', 'ophthalmic', 'cutaneous', 'percutaneous', 'buccal', 'transtracheal', 'intra-articular', 'intrasynovial', 'subarachnoid', 'periodontal', 'topical', 'rectal', 'intracaudal', 'oropharyngeal', 'vaginal', 'subcutaneous', 'respiratory (inhalation)', 'intrathoracic', 'not applicable', 'intrabursal', 'soft tissue', 'infiltration', 'transdermal', 'periarticular'}	TRUE	TRUE	TRUE
memantine	{'cas-number': '19982-08-2', 'ChEBI': '64312', 'ChEMBL': 'CHEMBL807', 'drugbank-id': 'DB01043', 'InChIKey': 'BUGYDGFZZOZRHP-UHFFFAOYSA-N', 'PubChem Compound': '4054', 'PubChem Substance': '46506702', 'unii': 'W8O17SJF3T'}	5	0.9931982458	0.9530087669	0.0304799166	0.1627019182	0.0236635317	0.0212529628	{'oral'}	TRUE	TRUE	TRUE
methylprednisolone	{'cas-number': '83-43-2', 'ChEBI': '6888', 'ChEMBL': 'CHEMBL650', 'drugbank-id': 'DB00959', 'InChIKey': 'VHRSUDSXCMQTMA-PJHHCJLFSA-N', 'PubChem Compound': '6741', 'PubChem Substance': '46504885', 'unii': 'X4W7ZR7023'}	5	0.994588829	0.6799579734	0.3370016974	0.1512332937	0.0756590629	0.0228744849	{'intravascular', 'parenteral', 'epidural', 'intralesional', 'intravenous', 'intramuscular', 'perineural', 'oral', 'intrathecal', 'intrameningeal', 'intrabronchial', 'intrasynovial', 'intra-articular', 'intra-arterial', 'topical', 'intracaudal', 'subcutaneous', 'intrabursal', 'soft tissue', 'infiltration', 'periarticular'}	TRUE	TRUE	TRUE
